今日休講にならないかな。,流石に無理でしょ。
流石に無理でしょ。,残念。
残念。,そういうこともあるよ。
予習した？,忘れてた。
忘れてた。,あらら。
バイト辛い。,頑張れ、頑張れ。
頑張れ、頑張れ。,ありがとう。
頑張れ。,ありがとう。
お昼何食べる？,おすすめは何？
おすすめは何？,難しいな。
最近寒いね。,マフラーとか欲しい。
マフラーとか欲しい。,わかる。
勉強大変だな。,わかる。
頭良くなる薬ないかな？,無理でしょ。
お腹すいたな。,何か買う？
何か買う？,良いね。
ピザ食べたいな。,みんなで食べたいね。
遊びに行きたいね。,週末はどう？
週末はどう？,良いね。
課題忘れた。,大丈夫？
大丈夫？。,厳しいかも。
厳しいかも。,あらら。
課題手伝って。,仕方ないな。
彼女欲しい。,わかる。
彼氏欲しい。,わかる。
わかる。,本当？
本当？,うん。
教室どこだっけ？,どこだっけ？
どこだっけ？,わからない。
今日の髪型どう？,似合ってる。
今日の服装どう？,似合ってる。
お金が足りない。,あらら。
お金貸して。,やだ。
やだ。,残念。
体がだるい。,体調悪いの？
体調悪いの？,どうだろう。
体調悪いな。,今日は休んだら。
