おっ、久しぶり。,久しぶり。
隣良いか？,良いよ。
良いよ。,どうも。
最近調子どうよ？,まあまあ。お前はどうなんだ？
お前はどうなんだ？,普通だな。
普通だな。,つまらないな。
つまらないな。,悪かったな。
ラーメンか、俺もだ。,奇遇だな。
いただきます。,いただきます。
今日はもう授業終わりか？,いや、後少し。
いや、後少し。,大変だな。
大変だな。,そんなに難しいやつじゃないから平気。
そんなに難しいやつじゃないから平気。,なるほど。
なるほど。,お前はどうなんだよ。
お前はどうなんだよ。,どう、とは？
どう、とは？,これからの予定。
これからの予定。,帰って家事するだけだな。
帰って家事するだけだな。,洗濯とか？
洗濯とか？,そう。
今学期も後少しだな。,そうだな。
試験勉強は順調？,微妙。
微妙。,そっかぁ。
お前はどうなんだ？,それなりには。
それなりには。,そいつは良いな。
今度勉強教えてくれよ。,出来る範囲なら。
ごちそうさまでした。,もう食べ終わったのか。
もう食べ終わったのか。,早く帰りたいからな。
早く帰りたいからな。,そうか、気をつけて。
気をつけて。,はいはい。
