散歩をしていたら犬と会ったんだ。,可愛かった？
可愛かった？,うん。
凄い勢いで走ってきたんだ。,元気だね。
元気だね。,そうだね。
飛びつかれちゃって。,怪我しなかった？
怪我しなかった？,大丈夫だった。
大丈夫だった。,それは良かった。
取り敢えず撫でておいた。,それは良かった。
餌をあげたら美味しそうに食べてるの。,可愛いね。
飼い主さんに怒られた。,あらら。
甘やかし過ぎは良くない。,それはそう。
犬可愛よね。,私もペット飼いたい。
私もペット飼いたい。,ちゃんと面倒見れるの？
ちゃんと面倒見れるの？,頑張る。
頑張る。,応援している。
猫も可愛い。,わかる。
猫は言うこと聞かない。,そう言われているね。
そう言われているね。,実際はどうなんだろう。
実際はどうなんだろう。,今度調べてみよう。
今度調べてみよう。,そうだね。
犬は躾が楽って聞くよね。,確かに。
大きい犬と小さい犬、どっちが好き？,どっちも好き。
どっちも好き。,優柔不断だなぁ。
優柔不断だなぁ。,仕方ないね。
モフモフしたい。,わかる。
ペットショップ行きたい。,わかる。
犬って何を食べるの？,ちょっとわかんない。
ちょっとわかんない。,残念。
