お、おはよう。,おはよう。
珍しいな、こんな時間に。,偶にはな。
学校まで一緒に行くか。,良いよ。
今朝は涼しいな。,汗かかなくて済んでラッキーだな。
午後からは熱くなるんだけっけ？,確か熱くなるって天気予報で言っていたな。
確か熱くなるって天気予報で言っていたな。,うわぁ。
うわぁ。,わかる。
学校に冷房つけて欲しいよな。,それな。
帰りアイス買うか。,買食いか？
買食いか？,多少は良いだろ。
多少は良いだろ。,まあ仕方ないか。
お前部活は？,今日は休み。
今日は休み。,羨ましいな。
俺は午後から部活あるわ。,それはお疲れ様。
部活の練習、厳しいんだって？,ああ、かなり厳しい。
ああ、かなり厳しい。,やっぱり監督がやばいのか。
やっぱり監督がやばいのか。,あれは鬼だ。
あれは鬼だ。,そいつは怖い。
怖いと言えば数学の宿題があったな。,宿題忘れたのか？
宿題忘れたのか？,いや、一応は終わらせてある。
いや、一応は終わらせてある。,一応。
一応。,自信がなさそうだな。
自信がなさそうだな。,ちょっと不安だな。
ちょっと不安だな。,まあ、なんとかなるだろ。
まあ、なんとかなるだろ。,そうだと良いんだけど。
信号赤だぞ。,おっと危ない。
おっと危ない。,注意しろよ。
注意しろよ。,済まない、気をつける。
気をつけろよ。,済まない、気をつける。
この坂道きついな。,確かにきついな。
ようやく着いた。,お疲れ。
ようやく着いた。,お疲れ様。
お疲れ様。,それじゃあ俺は用事あるから。
それじゃあ俺は用事あるから。,そうか、じゃあまた。
そうか、じゃあまた。,またな。
