今日もお疲れ様。,お疲れ様。
お疲れ様。,ありがとう。
お腹空いた。,何も食べてないのか？
何も食べてないのか？,忙しくて。
忙しくて。,そうなんだ。
雨降ってきた。,本当に？
雨冷たいよな。,確かに冷たい。
傘持ってきた？,持ってない。
相合い傘して。,どうしようかな。
どうしようかな。,そこをなんとか。
そこをなんとか。,考えておきます。
雨止まないかな。,どうだろう。
どうだろう。,わからない。
雷鳴ってきた。,怖いなぁ。
怖いなぁ。,落ち着いて。
落ち着いて。,深呼吸する。
稲光凄い。,凄い光ってる。
電車止まりそう。,止まらないと良いね。
夕飯何だろう。,普段は何なの？
普段は何を食べてるの？,ご飯とか。
カレー食べたい。,良いね。
揚げ物食べたい。,良いね。
自分でご飯作っているの？,一応。
一応自分でご飯作っている。,凄い。
ご飯は買ってる。,そうなんだ。
親がご飯を作ってくれる。,そうなんだ。
料理は得意なの？,普通かな。
料理は結構得意なんだ。,凄いね。
料理は出来ないな。,そうなんだ。
今日も宿題辛いな。,わかる。
勉強したくない。,無理しないで。
楽して成績上がらないかな。,難しいかな。
努力しないとな。,応援している。
応援している。,ありがとう。
最近宿題難しい。,そうなんだ。
後で教えて。,どうしようかな。
どうしようかな。,お願いします。
