今日は寒いな。,手がかじかみそう。
手がかじかみそう。,カイロが欲しい。
カイロが欲しい。,わかる。
わかる。,うん。
雪だるま作りたい。,可愛い。
可愛い。,それほどでも。
今日寒過ぎない？,わかる。
マフラー買った。,温かそう。
温かそう。,触ってみたい？
触ってみたい？,触ってみたい。
触ってみたい。,お触り禁止。
お触り禁止。,そんなぁ。
最近眠くて。,体が疲れているのかな？
体が疲れているのかな？,そうかもしれない。
そうかもしれない。,ゆっくり休んで。
ゆっくり休んで。,わかった。
布団が恋しい。,わかる。
温かいものが飲みたい。,コーヒーとか？
コーヒーとか？,そう。
コーヒーは苦手。,そうなんだ。
こたつから出られなくない。,わかる。
暖かい部屋に篭っていたい。,わかる。
おでん好き。,おでんの具は何が好き？
おでんの具は何が好き？,大根とか？
大根とか好き。,なるほど。
勉強面倒くさい。,頑張って。
頑張って。,ありがとう。
調子はどう？,それなり。
それなり。,それは良かった。
最近調子が良いんだよね。,羨ましい。
羨ましい。,ありがとう。
雪遊びがしたい。,良いね。
良いね。,本当？
本当？,本当。
バイトきつい。,お疲れ様。
お疲れ様。,ありがとう。
肉体労働が辛い。,うんうん。
慰めて。,よしよし。
よしよし。,ありがとう。
それじゃあまた。,またね。
